"clave","entidad_federativa","clave_delito","delito","2022","2021","2020","2019"
0,"Estados Unidos Mexicanos",90701,"Delitos en materia de migración - Tráfico de indocumentados",1650,1683,3,7
0,"Estados Unidos Mexicanos",90702,"Delitos en materia de migración - Otros delitos en materia de migración",0,0,0,0
0,"Estados Unidos Mexicanos",90703,"Delitos en materia de migración - No identificado",0,0,0,NA
0,"Estados Unidos Mexicanos",90800,"Delitos en materia de derechos de autor",248,237,0,0
0,"Estados Unidos Mexicanos",90900,"Delitos en materia de instituciones de crédito, inversión, fianzas y seguros",3362,4209,2,0
0,"Estados Unidos Mexicanos",91000,"Delitos en materia de propiedad industrial",930,1251,40,48
0,"Estados Unidos Mexicanos",91100,"Delitos contra la salud no relacionados con narcóticos",37,67,105,70
0,"Estados Unidos Mexicanos",91200,"Encubrimiento",5909,5147,5408,5841
0,"Estados Unidos Mexicanos",91300,"Operaciones con recursos de procedencia ilícita",567,731,183,130
0,"Estados Unidos Mexicanos",91400,"Tortura",4518,5288,3422,4410
0,"Estados Unidos Mexicanos",91500,"Suplantación y usurpación de identidad",16790,14472,11225,13354
0,"Estados Unidos Mexicanos",91601,"Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - Acceso ilícito a sistemas o equipos informáticos",416,493,136,285
0,"Estados Unidos Mexicanos",91602,"Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - Daños a datos informáticos",64,24,38,16
0,"Estados Unidos Mexicanos",91603,"Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - Interferir en el buen funcionamiento de sistemas o equipos informáticos",89,74,51,0
0,"Estados Unidos Mexicanos",91604,"Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - Otros delitos contra la seguridad de los datos y/o sistemas o equipos informáticos",1027,703,114,111
0,"Estados Unidos Mexicanos",91605,"Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - No identificado",3,16,70,NA
0,"Estados Unidos Mexicanos",91700,"Tratos o penas crueles, inhumanos o degradantes",1839,1615,327,9
0,"Estados Unidos Mexicanos",91800,"Otros delitos",112631,114929,95408,96311
0,"Estados Unidos Mexicanos",100100,"No identificado",1699,297,2325,NA
NA,"Fiscalía General de la República",0,"Total",77693,77637,NA,NA
NA,"Fiscalía General de la República",10100,"Homicidio",281,233,NA,NA
NA,"Fiscalía General de la República",10200,"Feminicidio",1,0,NA,NA
NA,"Fiscalía General de la República",10300,"Aborto",2,3,NA,NA
NA,"Fiscalía General de la República",10400,"Lesiones",638,634,NA,NA
NA,"Fiscalía General de la República",10500,"Otros delitos que atentan contra la vida y la integridad corporal",2,3,NA,NA
NA,"Fiscalía General de la República",20100,"Privación de la libertad",155,146,NA,NA
NA,"Fiscalía General de la República",20200,"Tráfico de menores",27,24,NA,NA
NA,"Fiscalía General de la República",20300,"Retención o sustracción de menores e incapaces",0,0,NA,NA
NA,"Fiscalía General de la República",20400,"Rapto",0,0,NA,NA
NA,"Fiscalía General de la República",20500,"Desaparición forzada de personas",294,270,NA,NA
NA,"Fiscalía General de la República",20601,"Secuestro - Secuestro extorsivo",83,112,NA,NA
NA,"Fiscalía General de la República",20602,"Secuestro - Secuestro en calidad de rehén",0,0,NA,NA
NA,"Fiscalía General de la República",20603,"Secuestro - Secuestro para causar daño",0,0,NA,NA
NA,"Fiscalía General de la República",20604,"Secuestro - Secuestro exprés",0,0,NA,NA
NA,"Fiscalía General de la República",20605,"Secuestro - Otro tipo de secuestro",12,19,NA,NA
NA,"Fiscalía General de la República",20606,"Secuestro - No identificado",0,0,NA,NA
NA,"Fiscalía General de la República",20700,"Otros delitos que atentan contra la libertad personal",0,0,NA,NA
NA,"Fiscalía General de la República",30100,"Abuso sexual",91,68,NA,NA
NA,"Fiscalía General de la República",30200,"Acoso sexual",0,0,NA,NA
NA,"Fiscalía General de la República",30300,"Hostigamiento sexual",196,92,NA,NA
NA,"Fiscalía General de la República",30401,"Violación - Violación simple",35,25,NA,NA
NA,"Fiscalía General de la República",30402,"Violación - Violación equiparada por introducir cualquier elemento, instrumento o cualquier parte del cuerpo humano, distinto al pene",16,1,NA,NA
